Gender,Race_Ethnicity,Parental_Level_of_Education,Lunch,Test_Preparation,Maths_Score,Reading_Score,Writing_Score
Female,Group E,master's degree,Free/Reduced,None,19,74,14
Female,Group B,associate's degree,Free/Reduced,Completed,67,60,17
Female,Group D,high school,Free/Reduced,Completed,57,61,64
Female,Group E,master's degree,Free/Reduced,Completed,59,86,71
Male,Group B,some high school,Free/Reduced,Completed,75,52,93
Male,Group B,some high school,Standard,Completed,74,50,71
Male,Group B,master's degree,Free/Reduced,None,59,52,73
Male,Group E,bachelor's degree,Free/Reduced,Completed,11,87,57
Male,Group E,some college,Free/Reduced,None,75,32,44
Male,Group E,associate's degree,Free/Reduced,None,18,71,91
Female,Group C,master's degree,Free/Reduced,Completed,3,67,28
Female,Group E,some college,Free/Reduced,None,86,30,9
Male,Group A,master's degree,Free/Reduced,None,28,65,44
Male,Group E,high school,Free/Reduced,None,43,87,38
Female,Group B,bachelor's degree,Standard,None,20,33,53
Female,Group D,bachelor's degree,Standard,None,1,10,78
Male,Group D,bachelor's degree,Free/Reduced,None,96,34,87
Male,Group B,master's degree,Free/Reduced,Completed,61,29,29
Male,Group E,associate's degree,Standard,Completed,41,46,20
Male,Group B,master's degree,Standard,None,61,57,2
Female,Group D,high school,Free/Reduced,None,39,0,52
Female,Group E,associate's degree,Free/Reduced,Completed,25,77,21
Female,Group D,high school,Standard,Completed,35,22,70
Male,Group A,some college,Standard,None,72,24,5
Female,Group C,bachelor's degree,Standard,Completed,54,92,29
Female,Group D,master's degree,Free/Reduced,Completed,20,21,18
Female,Group A,master's degree,Standard,Completed,59,41,23
Male,Group D,some college,Free/Reduced,None,58,85,10
Male,Group E,associate's degree,Free/Reduced,None,42,77,45
Male,Group B,associate's degree,Standard,Completed,63,37,66
Male,Group C,bachelor's degree,Standard,Completed,65,36,22
Female,Group A,some college,Standard,None,42,15,82
Female,Group C,some high school,Free/Reduced,None,82,57,77
Female,Group B,associate's degree,Free/Reduced,None,59,7,22
Female,Group D,associate's degree,Free/Reduced,Completed,5,23,43
Female,Group C,some high school,Standard,None,37,83,68
Female,Group D,high school,Free/Reduced,Completed,72,73,44
Female,Group D,some college,Standard,Completed,72,81,14
Male,Group A,some high school,Standard,Completed,49,52,58
Male,Group E,some college,Standard,None,69,62,74
Male,Group C,associate's degree,Standard,None,1,96,41
Male,Group E,associate's degree,Free/Reduced,None,62,51,62
Male,Group D,some high school,Standard,Completed,92,96,36
Female,Group C,bachelor's degree,Free/Reduced,Completed,96,50,4
Male,Group E,some college,Free/Reduced,Completed,15,64,76
Male,Group D,some high school,Standard,None,64,20,28
Male,Group A,high school,Standard,Completed,69,67,84
Male,Group D,some high school,Free/Reduced,Completed,68,66,60
Female,Group B,associate's degree,Free/Reduced,Completed,62,29,83
Male,Group A,bachelor's degree,Standard,None,100,36,92
Female,Group D,associate's degree,Standard,Completed,73,59,85
Female,Group D,some college,Free/Reduced,Completed,9,51,23
